Rk,Player,Age,Tm,Pos,GP,CF,CA,CF.perc,CF.rel,FF,FA,FF.perc,FF.perc.rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E.p_m,SAtt.,Thru%
1,Justin Abdelkader\abdelju01,30,DET,LW,62,741,771,49.0,0.5,566,587,49.1,-0.3,8.0,91.1,99.0,51.7,48.3,16:47,13:02,18,28,-4.8,165,53.3
2,Pontus Aberg\abergpo01,24,TOT,LW,43,417,489,46.0,-4.9,319,366,46.6,-4.7,9.3,95.4,104.7,59.7,40.3,11:32,11:22,12,11,-3.4,94,54.3
3,Noel Acciari\acciano01,26,BOS,C,45,442,456,49.2,-5.6,343,310,52.5,-1.7,5.6,91.0,96.6,34.0,66.0,12:43,11:20,16,7,2.9,93,55.9
4,Kenny Agostino\agostke01,25,BOS,LW,5,34,48,41.5,-8.5,28,33,45.9,-4.1,4.8,92.0,96.8,37.5,62.5,12:03,8:59,1,0,-0.2,17,64.7
5,Sebastian Aho\ahose01,20,CAR,RW,65,1039,882,54.1,-0.7,763,694,52.4,-1.8,9.1,89.6,98.7,55.0,45.0,17:59,15:10,50,49,3.1,342,51.5
6,Sebastian Aho\ahose02,21,NYI,D,21,286,321,47.1,2.2,213,259,45.1,0.9,9.5,90.0,99.5,43.6,56.4,15:37,14:29,3,11,-3.8,48,45.8
7,Mark Alt\altma01,26,PHI,D,8,89,96,48.1,-4.7,69,75,47.9,-4.5,6.0,94.8,100.8,58.3,41.7,13:26,12:44,2,2,-0.8,12,41.7
8,Karl Alzner\alzneka01,29,MTL,D,69,1141,1119,50.5,-0.7,817,805,50.4,-1.1,7.0,91.1,98.1,47.6,52.4,20:10,17:01,19,78,0.7,163,44.8
9,Michael Amadio\amadimi01,21,LAK,C,29,202,228,47.0,-3.3,153,169,47.5,-2.5,5.3,95.2,100.5,67.4,32.6,9:09,8:19,9,5,-0.3,42,54.8
10,Josh Anderson\anderjo05,23,CBJ,RW,61,1054,904,53.8,3.4,805,661,54.9,3.3,6.8,91.3,98.2,59.4,40.6,18:14,15:50,40,18,0.3,313,58.8
11,Rasmus Andersson\anderra01,21,CGY,D,1,17,14,54.8,10.0,14,12,53.8,6.0,22.2,100.0,122.2,71.4,28.6,13:56,13:56,0,0,0.3,1,0.0
12,Andy Andreoff\andrean01,26,LAK,LW,42,333,394,45.8,-4.6,247,296,45.5,-4.5,6.4,93.3,99.7,55.6,44.4,9:29,9:26,3,7,-4.1,79,55.7
13,Sven Andrighetto\andrisv01,24,COL,RW,39,436,433,50.2,2.7,299,339,46.9,-0.7,8.4,88.7,97.1,51.9,48.1,14:32,11:38,16,11,-6.2,149,56.4
14,Artem Anisimov\anisiar01,29,CHI,C,60,771,771,50.0,-4.1,544,590,48.0,-4.5,6.9,92.4,99.2,55.6,44.4,16:47,12:25,16,20,-5.7,191,57.6
15,Victor Antipin\antipvi01,25,BUF,D,42,484,534,47.5,-0.1,348,402,46.4,-1.7,6.4,92.6,99.0,53.8,46.2,15:25,14:15,4,12,-3.3,72,48.6
16,Darren Archibald\archida02,27,VAN,RW,16,141,206,40.6,-9.2,109,153,41.6,-8.6,2.6,92.9,95.6,22.0,78.0,14:49,11:44,4,1,-2.8,34,55.9
17,Josh Archibald\archijo01,25,TOT,RW,30,305,318,49.0,-0.8,220,240,47.8,0.0,7.9,89.5,97.4,43.7,56.3,12:08,11:10,3,2,-2.7,68,50.0
18,Joel Armia\armiajo01,24,WPG,RW,66,594,575,50.8,0.3,438,417,51.2,0.2,9.0,92.0,101.0,39.6,60.4,12:24,9:39,38,12,3.3,179,61.5
19,Viktor Arvidsson\arvidvi01,24,NSH,LW,66,1016,938,52.0,0.7,755,720,51.2,-0.4,10.6,92.4,103.0,55.1,44.9,18:03,14:06,28,30,-9.1,361,57.6
