web-scraper-order,web-scraper-start-url,Player,Pos,Team,Age,Yrs,Dollars,Average,Free Agent,TXTPLAYERNAME
1521002009-204,http://www.spotrac.com/nhl/contracts/,EnnisTyler Ennis (2014-2018),C,MINSigned w/BUF,28,5,"$23,000,000 ","$4,600,000 ",2019,TYLER ENNIS
1521002009-585,http://www.spotrac.com/nhl/contracts/,RuttaJan Rutta (2018-2018),D,CHI,27,1,"$2,300,000 ","$2,300,000 ",2019,JAN RUTTA
1521002009-217,http://www.spotrac.com/nhl/contracts/,HornqvistPatric Hornqvist (2013-2017),RW,PITSigned w/NSH,31,5,"$21,250,000 ","$4,250,000 ",0,PATRIC HORNQVIST
1521002009-250,http://www.spotrac.com/nhl/contracts/,GranlundMikael Granlund (2017-2019),C,MIN,26,3,"$17,250,000 ","$5,750,000 ",2020,MIKAEL GRANLUND
1521002009-809,http://www.spotrac.com/nhl/contracts/,TootooJordin Tootoo (2016-2017),RW,CHI,35,1,"$700,000 ","$700,000 ",2018,JORDIN TOOTOO
1521002009-70,http://www.spotrac.com/nhl/contracts/,KeslerRyan Kesler (2015-2021),C,ANA,33,6,"$41,250,000 ","$6,875,000 ",2022,RYAN KESLER
1521002009-93,http://www.spotrac.com/nhl/contracts/,HuberdeauJonathan Huberdeau (2016-2022),LW,FLA,24,6,"$35,400,000 ","$5,900,000 ",2023,JONATHAN HUBERDEAU
1521002009-638,http://www.spotrac.com/nhl/contracts/,JankowskiMark Jankowski (2016-2017),C,CGY,23,2,"$1,850,000 ","$925,000 ",2018,MARK JANKOWSKI
1521002009-32,http://www.spotrac.com/nhl/contracts/,EkbladAaron Ekblad (2016-2024),D,FLA,22,8,"$60,000,000 ","$7,500,000 ",2025,AARON EKBLAD
1521002009-829,http://www.spotrac.com/nhl/contracts/,ColemanBlake Coleman (2017-2017),C,NJD,26,1,"$660,000 ","$660,000 ",2018,BLAKE COLEMAN
1521002009-232,http://www.spotrac.com/nhl/contracts/,GrabovskiMikhail Grabovski (2014-2017),C,VGKSigned w/NYI,34,4,"$20,000,000 ","$5,000,000 ",2018,MIKHAIL GRABOVSKI
1521002009-568,http://www.spotrac.com/nhl/contracts/,SchennLuke Schenn (2016-2017),D,AZ,28,2,"$2,500,000 ","$1,250,000 ",2018,LUKE SCHENN
